,导演,上映日期,地区,评分,评价人数
小偷家族,是枝裕和 Hirokazu Koreeda,"
                            2018",日本,8.7,759919
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,"
                            2008",英国,8.6,697178
无敌破坏王,瑞奇·莫尔 Rich Moore,"
                            2012",美国,8.7,492012
真爱至上,理查德·柯蒂斯 Richard Curtis,"
                            2003",英国 美国 法国,8.6,676176
东邪西毒,王家卫 Kar Wai Wong,"
                            1994",中国香港 中国台湾,8.6,535911
疯狂的石头,宁浩 Hao Ning,"
                            2006",中国大陆 中国香港,8.5,748860
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,"
                            2002",美国,8.6,567758
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,"
                            1952",美国,9.1,199166
茶馆,谢添 Tian Xie,"
                            1982(中国大陆)",中国大陆,9.5,106981
你看起来好像很好吃,藤森雅也 Masaya Fujimori,"
                            2010",日本,8.9,308399
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,"
                            2010",美国,8.6,738843
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,"
                            2009",英国 澳大利亚,8.5,771987
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,"
                            1968",英国 美国,8.9,285685
魔女宅急便,宫崎骏 Hayao Miyazaki,"
                            1989",日本,8.7,420579
雨人,巴瑞·莱文森 Barry Levinson,"
                            1988",美国,8.7,375792
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,"
                            2004",美国,8.6,616067
遗愿清单,罗伯·莱纳 Rob Reiner,"
                            2007",美国,8.7,402959
城市之光,Charles Chaplin,"
                            1931",美国,9.3,130619
可可西里,陆川 Chuan Lu,"
                            2004",中国大陆 中国香港,8.9,277028
大佛普拉斯,黄信尧 Hsin-yao Huang,"
                            2017",中国台湾,8.7,404515
牯岭街少年杀人事件,杨德昌 Edward Yang,"
                            1991",中国台湾,8.9,260411
无间道2,刘伟强 / 麦兆辉,"
                            2003",中国香港,8.7,419979
萤火虫之墓,高畑勋 Isao Takahata,"
                            1988",日本,8.7,382320
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,"
                            1994",中国大陆 中国香港,9.5,106483
源代码,邓肯·琼斯 Duncan Jones,"
                            2011",美国 加拿大,8.5,775372
虎口脱险,杰拉尔·乌里 Gérard Oury,"
                            1966",法国 英国,8.9,231607
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,"
                            2001",美国 英国,8.7,408470
小丑,托德·菲利普斯 Todd Phillips,"
                            2019",美国 加拿大,8.7,924990
东京教父,今敏 Satoshi Kon,"
                            2003",日本,9.0,191593
初恋这件小事,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010","
                            2016",美国,8.6,464995
罗生门,黑泽明 Akira Kurosawa,"
                            1950",日本,8.8,287282
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,"
                            1991",美国 法国,8.8,315111
青蛇,徐克 Hark Tsui,"
                            1993",中国香港 中国大陆,8.6,480445
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,"
                            2018",英国 美国,8.6,549712
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,"
                            2017",美国 中国香港,8.6,517230
二十二,郭柯 Ke Guo,"
                            2015",中国大陆,8.7,275108
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,"
                            2015",澳大利亚 美国,8.6,483902
新龙门客栈,李惠民 Raymond Lee,"
                            1992",中国香港 中国大陆,8.7,406236
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,"
                            2015",爱尔兰 加拿大 英国 美国,8.8,348631
无耻混蛋,Quentin Tarantino,"
                            2009",德国 美国,8.6,435955
血钻,爱德华·兹威克 Edward Zwick,"
                            2006",美国 德国 英国,8.7,347628
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,"
                            2020",美国,8.7,873014
千钧一发,安德鲁·尼科尔 Andrew Niccol,"
                            1997",美国,8.8,262884
魂断蓝桥,茂文·勒鲁瓦 Mervyn LeRoy,"
                            1940",美国,8.8,255596
步履不停,是枝裕和 Hirokazu Koreeda,"
                            2008",日本,8.8,254938
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,"
                            2003",美国,8.7,374909
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit,"
                            2013",美国 英国,8.5,513602
崖上的波妞,宫崎骏 Hayao Miyazaki,"
                            2008",日本,8.6,440529
战争之王,安德鲁·尼科尔 Andrew Niccol,"
                            2005",法国 德国 美国,8.7,334831
爱乐之城,达米恩·查泽雷 Damien Chazelle,"
                            2016",美国,8.4,801728
谍影重重2,保罗·格林格拉斯 Paul Greengrass,"
                            2004",美国 德国,8.7,325716
燃情岁月,爱德华·兹威克 Edward Zwick,"
                            1994",美国,8.8,266712
阿飞正传,王家卫 Kar Wai Wong,"
                            1990",中国香港,8.5,465555
末路狂花,雷德利·斯科特 Ridley Scott,"
                            1991",美国 英国 法国,8.9,215920
海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,"
                            2009",法国 瑞士 西班牙 美国 阿联酋 摩纳哥,9.1,149990
火星救援,雷德利·斯科特 Ridley Scott,"
                            2015",英国 美国 匈牙利 约旦,8.5,656013
再次出发之纽约遇见你,约翰·卡尼 John Carney,"
                            2013",美国,8.6,396596
谍影重重,道格·里曼 Doug Liman,"
                            2002",美国 德国 捷克,8.6,391742
穿越时空的少女,细田守 Mamoru Hosoda,"
                            2006",日本,8.6,356204
朗读者,史蒂芬·戴德利 Stephen Daldry,"
                            2008",美国 德国,8.6,429066
香水,汤姆·提克威 Tom Tykwer,"
                            2006",德国 法国 西班牙 美国 比利时,8.5,510121
地球上的星星,阿米尔·汗 Aamir Khan,"
                            2007",印度,8.9,190291
千年女优,今敏 Satoshi Kon,"
                            2001",日本,8.8,231294
我爱你,秋昌民 Chang-min Choo,"
                            2011",韩国,9.0,152815
完美陌生人,保罗·格诺维瑟 Paolo Genovese,"
                            2016",意大利,8.5,492072
驴得水,周申 Shen Zhou / 刘露 Lu Liu,"
                            2016",中国大陆,8.3,855702
聚焦,托马斯·麦卡锡 Thomas McCarthy,"
                            2015",美国,8.8,255302
浪潮,丹尼斯·甘塞尔 Dennis Gansel,"
                            2008",德国,8.7,257015
