Book name,Author,URL,Coming Date,Publish,Ratings,Rating population,Price
失明症漫记,[葡]若泽·萨拉马戈,https://book.douban.com/subject/20428302/,2014,南海出版公司,9.1,23494,29.50
斯通纳,[美]约翰·威廉斯,https://book.douban.com/subject/26425831/,2016,上海人民出版社,8.9,53469,49.00
罪恶捕手,多纳托·卡瑞西,https://book.douban.com/subject/35799458/,2022,文汇出版社,8.3,253,59.9
天才基本法·完结篇,长洱,https://book.douban.com/subject/34816684/,2019,江苏凤凰文艺出版社,8.8,4193,78.00
莫须有,倪湛舸,https://book.douban.com/subject/35867647/,2022,上海人民出版社,8.1,160,49.00
足利女童连续失踪事件,[日]清水洁,https://book.douban.com/subject/35776315/,2022,文汇出版社,9.1,874,49.00
不存在的骑士,[意]伊塔洛·卡尔维诺,https://book.douban.com/subject/6789551/,2012,译林出版社,8.9,17547,22.00
面纱,(英)W.萨默塞特·毛姆,https://book.douban.com/subject/10560798/,2012,重庆出版社,8.8,66758,32.00
星之继承者,[英]詹姆斯·P.霍根,https://book.douban.com/subject/35271451/,2021,新星出版社,8.9,7129,58.00
舒吉·贝恩,[英国]道格拉斯·斯图尔特,https://book.douban.com/subject/35731250/,2022,译林出版社,8.4,202,78.00
你一生的故事:特德·姜科幻小说集,[美]特德·姜,https://book.douban.com/subject/26295448/,2015,译林出版社,8.7,31334,36.00
Blue,[日]叶真中显,https://book.douban.com/subject/35503551/,2021,新星出版社,7.9,6068,58.00
四合如意,张怡微,https://book.douban.com/subject/35964293/,2022,人民文学出版社,8.6,202,59
荒原狼,[德]赫尔曼·黑塞,https://book.douban.com/subject/3131626/,2008,上海译文出版社,9.0,18311,13.00
占星术杀人魔法:岛田庄司作品集01,（日）岛田庄司,https://book.douban.com/subject/10740776/,2012,新星出版社,8.4,20134,28.00
额尔古纳河右岸,迟子建,https://book.douban.com/subject/34432750/,2019,人民文学出版社,9.1,3322,32.00
台北人,白先勇,https://book.douban.com/subject/5337248/,2010,广西师范大学出版社,9.0,59222,38.00
雪国:川端康成作品01,[日本]川端康成,https://book.douban.com/subject/24736899/,2013,南海出版公司,8.1,49989,32.00
一个叫欧维的男人决定去死,[瑞典]弗雷德里克·巴克曼,https://book.douban.com/subject/26672693/,2015,四川文艺出版社,9.1,54584,35.00
看不见的城市,[意]伊塔洛·卡尔维诺,https://book.douban.com/subject/10555509/,2012,译林出版社,9.0,29333,25.00
字母表谜案,大山诚一郎,https://book.douban.com/subject/35390390/,2021,河南文艺出版社,7.6,29705,42.00
美丽新世界,【英】奥尔德斯·赫胥黎,https://book.douban.com/subject/27002046/,2017,上海译文出版社,9.2,38499,45.00
莫失莫忘,[英]石黑一雄,https://book.douban.com/subject/30181685/,2018,上海译文出版社,8.8,11115,49.00
海边的房间,黄丽群,https://book.douban.com/subject/35459915/,2021,河南文艺出版社,7.8,14927,56
未来学大会,[波]斯坦尼斯瓦夫·莱姆,https://book.douban.com/subject/35330057/,2021,译林出版社,9.1,6419,42.00
局外人:加缪作品,(法)阿尔贝·加缪,https://book.douban.com/subject/24257486/,2013,上海译文出版社,9.2,39658,22.00
莫言的奇奇怪怪故事集,莫言,https://book.douban.com/subject/35792990/,2022,江苏凤凰文艺出版社,8.4,1230,59.9
1367:陳浩基作品2,陳浩基,https://book.douban.com/subject/25897884/,2014,皇冠文化出版有限公司,9.2,16022,350
白鹿原,陈忠实,https://book.douban.com/subject/10564071/,2012,人民文学出版社,9.3,86048,39.00
强风吹拂,三浦紫苑,https://book.douban.com/subject/26210487/,2015,广西师范大学出版社,9.0,20433,39.00
不能承受的生命之轻,[捷克]米兰·昆德拉,https://book.douban.com/subject/25900384/,2014,上海译文出版社,9.1,9573,46.00
眼泪,[法国]帕斯卡·基尼亚尔,https://book.douban.com/subject/35898143/,2022,南京大学出版社,8.1,90,65.00
往复书简：初恋与不伦,[日]坂元裕二,https://book.douban.com/subject/34949694/,2020,北京联合出版公司,8.3,13740,42.00
一桩事先张扬的凶杀案,[哥伦比亚]加西亚·马尔克斯,https://book.douban.com/subject/24382569/,2013,南海出版公司,8.7,38674,25.00
仙症,郑执,https://book.douban.com/subject/35216559/,2020,北京日报出版社,8.2,9348,58.00
蛇结,[法]弗朗索瓦·莫里亚克,https://book.douban.com/subject/35904798/,江苏凤凰文艺出版社,尹永达,8.8,86,2022
红楼梦,[清]曹雪芹著、高鹗续,https://book.douban.com/subject/1007305/,1996,人民文学出版社,9.6,377919,59.70
19年间谋杀小叙,那多,https://book.douban.com/subject/30237176/,2018,人民文学出版社,8.1,25859,59.00
爱丽丝罪恶奇境,[日]早坂吝,https://book.douban.com/subject/35776310/,2022,文汇出版社,7.0,2047,42
荒原狼,[德]赫尔曼·黑塞,https://book.douban.com/subject/4908883/,2010,上海译文出版社,9.0,12718,25.00
鄙视,[意]阿尔贝托·莫拉维亚,https://book.douban.com/subject/35482123/,2021,江苏凤凰文艺出版社,8.0,12385,62.00
三体全集:地球往事三部曲,刘慈欣,https://book.douban.com/subject/6518605/,2012,重庆出版社,9.5,140611,168.00
关于告别的一切,路内,https://book.douban.com/subject/35747815/,2022,上海文艺出版社,7.7,410,78.00
另一颗星球不存在,未来事务管理局、刘茜、昼温、刘天一、提沙、赵雪菲、房泽宇、吴季、肯·沃顿、罗伯特·西尔弗伯格、[美国]刘宇昆、LostAbaddon、苏民、咸菜、赵佳铭、沙陀王,https://book.douban.com/subject/35898060/,2022,湖南文艺出版社,8.7,40,49.80
